day_id,condition_text
D0001,
D0002,
D0003,Light Rain with Thunder
D0004,Clear and Sunny
D0005,
D0006,
D0007,Partly Cloudy
D0008,
D0009,
D0010,
D0011,
D0012,
D0013,
D0014,
D0015,
D0016,
D0017,
D0018,
D0019,Clear and Sunny
D0020,
D0021,
D0022,
D0023,
D0024,
D0025,
D0026,
D0027,
D0028,Partly Cloudy
D0029,
D0030,
D0031,
D0032,
D0033,
D0034,
D0035,Partly Cloudy
D0036,
D0037,
D0038,
D0039,
D0040,
D0041,
D0042,Light Rain with Thunder
D0043,
D0044,
D0045,
D0046,
D0047,
D0048,
D0049,
D0050,
D0051,
D0052,
D0053,
D0054,
D0055,
D0056,
D0057,
D0058,
D0059,
D0060,
D0061,
D0062,
D0063,
D0064,
D0065,
D0066,
D0067,
D0068,
D0069,
D0070,
D0071,
D0072,
D0073,
D0074,
D0075,
D0076,
D0077,
D0078,
D0079,Light Precipitation
D0080,
D0081,Cloudy and Overcast
D0082,
D0083,
D0084,
D0085,
D0086,
D0087,Cloudy and Overcast
D0088,
D0089,
D0090,
D0091,
D0092,
D0093,
D0094,
D0095,
D0096,
D0097,
D0098,
D0099,Partly Cloudy
D0100,
D0101,
D0102,
D0103,Cloudy and Overcast
D0104,
D0105,
D0106,Clear and Sunny
D0107,
D0108,
D0109,
D0110,
D0111,Cloudy and Overcast
D0112,
D0113,
D0114,Clear and Sunny
D0115,
D0116,
D0117,
D0118,
D0119,
D0120,
D0121,
D0122,
D0123,
D0124,
D0125,Clear and Sunny
D0126,
D0127,Partly Cloudy
D0128,Light Precipitation
D0129,
D0130,
D0131,
D0132,
D0133,
D0134,Clear and Sunny
D0135,
D0136,
D0137,
D0138,
D0139,
D0140,
D0141,Clear and Sunny
D0142,
D0143,
D0144,
D0145,
D0146,Light Precipitation
D0147,
D0148,Clear and Sunny
D0149,
D0150,
D0151,
D0152,
D0153,
D0154,
D0155,
D0156,
D0157,
D0158,
D0159,
D0160,
D0161,
D0162,
D0163,
D0164,
D0165,
D0166,
D0167,
D0168,
D0169,
D0170,
D0171,
D0172,
D0173,
D0174,Clear and Sunny
D0175,
D0176,
D0177,
D0178,
D0179,
D0180,
D0181,
D0182,
D0183,
D0184,
D0185,
D0186,Clear and Sunny
D0187,
D0188,
D0189,
D0190,
D0191,
D0192,
D0193,
D0194,
D0195,
D0196,
D0197,
D0198,
D0199,
D0200,
D0201,
D0202,
D0203,
D0204,
D0205,Clear and Sunny
D0206,
D0207,
D0208,
D0209,
D0210,Clear and Sunny
D0211,
D0212,
D0213,Clear and Sunny
D0214,
D0215,
D0216,
D0217,
D0218,Mist or Fog
D0219,
D0220,
D0221,
D0222,
D0223,
D0224,
D0225,
D0226,
D0227,
D0228,
D0229,
D0230,
D0231,
D0232,Clear and Sunny
D0233,
D0234,
D0235,Cloudy and Overcast
D0236,
D0237,
D0238,Light Precipitation
D0239,
D0240,
D0241,Rain Showers
D0242,Partly Cloudy
D0243,Light Precipitation
D0244,Cloudy and Overcast
D0245,Rain Showers
D0246,Partly Cloudy
D0247,
D0248,
D0249,Cloudy and Overcast
D0250,
D0251,
D0252,
D0253,Light Rain with Thunder
D0254,
D0255,Light Precipitation
D0256,Moderate to Heavy Rain
D0257,
D0258,Light Precipitation
D0259,
D0260,Light Precipitation
D0261,Clear and Sunny
D0262,
D0263,
D0264,
D0265,
D0266,
D0267,
D0268,Mist or Fog
D0269,Clear and Sunny
D0270,
D0271,
D0272,
D0273,
D0274,
D0275,
D0276,
D0277,
D0278,Cloudy and Overcast
D0279,Mist or Fog
D0280,
D0281,
D0282,Clear and Sunny
D0283,
D0284,
D0285,
D0286,
D0287,
D0288,
D0289,
D0290,
D0291,
D0292,
D0293,
D0294,
D0295,
D0296,
D0297,Clear and Sunny
D0298,
D0299,
D0300,
D0301,
D0302,Light Precipitation
D0303,
D0304,
D0305,Clear and Sunny
D0306,
D0307,
D0308,
D0309,
D0310,
